Date,Election,Election_to_Inauguration,Full_Date,Election_Total,Post_Election_Subtotal
2014-01-14,1000,NA,"January 14, 2014","1,000",NA
2014-02-03,24176.87,NA,"February 3, 2014","24,177",NA
2014-02-04,24451.87,NA,"February 4, 2014","24,452",NA
2014-02-05,25276.87,NA,"February 5, 2014","25,277",NA
2014-02-06,25526.87,NA,"February 6, 2014","25,527",NA
2014-02-07,25566.87,NA,"February 7, 2014","25,567",NA
2014-02-08,26166.87,NA,"February 8, 2014","26,167",NA
2014-02-09,26416.87,NA,"February 9, 2014","26,417",NA
2014-02-10,27341.87,NA,"February 10, 2014","27,342",NA
2014-02-11,30246.87,NA,"February 11, 2014","30,247",NA
2014-02-12,46256.869999999995,NA,"February 12, 2014","46,257",NA
2014-02-13,46276.67,NA,"February 13, 2014","46,277",NA
2014-02-14,47176.33,NA,"February 14, 2014","47,176",NA
2014-02-15,47616.33,NA,"February 15, 2014","47,616",NA
2014-02-16,47651.33,NA,"February 16, 2014","47,651",NA
2014-02-17,64490.33,NA,"February 17, 2014","64,490",NA
2014-02-18,64840.33,NA,"February 18, 2014","64,840",NA
2014-02-19,71940.33,NA,"February 19, 2014","71,940",NA
2014-02-20,96325.33,NA,"February 20, 2014","96,325",NA
2014-02-21,102558.33,NA,"February 21, 2014","102,558",NA
2014-02-24,113290.33,NA,"February 24, 2014","113,290",NA
2014-02-25,118070.33,NA,"February 25, 2014","118,070",NA
2014-02-26,130390.33,NA,"February 26, 2014","130,390",NA
2014-02-27,136319.33000000002,NA,"February 27, 2014","136,319",NA
2014-02-28,139463.7,NA,"February 28, 2014","139,464",NA
2014-03-01,144768.7,NA,"March 1, 2014","144,769",NA
2014-03-02,144818.7,NA,"March 2, 2014","144,819",NA
2014-03-03,148588.5,NA,"March 3, 2014","148,588",NA
2014-03-04,152843.5,NA,"March 4, 2014","152,844",NA
2014-03-05,155914.5,NA,"March 5, 2014","155,914",NA
2014-03-06,159199.5,NA,"March 6, 2014","159,200",NA
2014-03-07,162995.5,NA,"March 7, 2014","162,996",NA
2014-03-08,163575.5,NA,"March 8, 2014","163,576",NA
2014-03-09,166410.5,NA,"March 9, 2014","166,410",NA
2014-03-10,172800.5,NA,"March 10, 2014","172,800",NA
2014-03-11,175550.5,NA,"March 11, 2014","175,550",NA
2014-03-12,176155.5,NA,"March 12, 2014","176,156",NA
2014-03-13,178575.5,NA,"March 13, 2014","178,576",NA
2014-03-14,185420.5,NA,"March 14, 2014","185,420",NA
2014-03-15,185670.5,NA,"March 15, 2014","185,670",NA
2014-03-16,185675.5,NA,"March 16, 2014","185,676",NA
2014-03-17,186620.5,NA,"March 17, 2014","186,620",NA
2014-03-18,193200.84,NA,"March 18, 2014","193,201",NA
2014-03-19,197076.84,NA,"March 19, 2014","197,077",NA
